province,year,carbon_intensity,digital_finance,gdp_per_capita,industrial_structure,urbanization,government_intervention,innovation,energy_structure,gdp_nominal,gdp_index_previous_year_100,gdp_real,population,urban_population,secondary_industry,fiscal_expenditure,carbon_emissions_mt,patent_grants,coal_related_tce,total_energy_tce
吉林,2019,1.5602716545617106,292.7735940113083,5.177722483954381,0.34830200679532025,0.616421568627451,0.32917301287093914,8.008698182988528,0.3064713192383418,11949.4,103.1,12675.064640720324,2448.0,1509.0,4162.0,3933.42,197.76544078653333,3006,1936.4826354999996,6318.642280499999
吉林,2020,1.4206815028746982,308.2564873808283,5.410281864150735,0.34699787991519665,0.6265110462692789,0.3301868074722989,8.286521373681236,0.27229309038563276,12499.5,102.4,12979.266192097613,2399.0,1503.0,4337.3,4127.17,184.39403399999998,3969,1687.2330694999998,6196.3859131
吉林,2021,1.3796286317505522,339.4132641464888,5.8256411624320235,0.3509541288502058,0.6336842105263157,0.27524476774054246,8.653645314551737,0.25017262556242986,13431.1,106.6,13835.897760776055,2375.0,1505.0,4713.7,3696.84,190.88400696739998,5730,1533.4276125000004,6129.478031629555
吉林,2022,1.3642052911500269,343.6674222751498,5.780671083186247,0.3257960278628805,0.637137989778535,0.30819958236163825,8.777092882855566,0.2419723126569473,13121.4,98.1,13573.015703321309,2348.0,1496.0,4274.9,4044.01,185.16379839333334,6483,1363.85002,5636.3887464
黑龙江,2011,3.784397664350472,33.58,2.663670015864622,0.4880186619019258,0.5647805393971443,0.27735556879094697,7.577633832602728,0.3411798474408093,10074.0,111.0,10074.0,3782.0,2136.0,4916.3,2794.08,381.2402207066666,1953,2600.418741,7621.841561
黑龙江,2012,3.5952253773884184,87.91,2.9377991407089152,0.45652134992391014,0.5687432867883996,0.2839065437292991,7.791109510610028,0.4068563653024125,11171.0,108.6,10940.364,3724.0,2118.0,5099.8,3171.52,393.3307429066666,2418,3549.616078,8724.4943934
黑龙江,2013,3.09060016429197,141.4,3.2080990998363337,0.43294499459099606,0.5804691762138571,0.28036781226595653,7.713784616598755,0.4427067369042353,12017.0,107.5,11760.8913,3666.0,2128.0,5202.7,3369.18,363.48212584,2238,4002.2197515,9040.3407445
黑龙江,2014,2.8290399266844073,167.8,3.4324330761917956,0.39429963340913315,0.5922949002217295,0.2779147210915182,7.805882040228621,0.42282058436308567,12357.1,105.3,12384.218538899999,3608.0,2137.0,4872.4,3434.22,350.3544870733333,2454,3840.2344240000007,9082.420691000001
黑龙江,2015,2.6645645537353824,209.93,3.698771986398583,0.32661022024086767,0.6047038821195806,0.3344084769445738,8.300280189852664,0.4121884161605451,12023.2,105.4,13052.9663400006,3529.0,2134.0,3926.9,4020.66,347.80471430666665,4024,3787.852796,9189.614864199999
黑龙江,2016,2.6837596419490577,221.8857269165423,3.9313438904477693,0.3004421500052928,0.6110308980652613,0.3442207004372644,8.377011160816375,0.42751474026000824,12280.9,104.3,13614.243892620625,3463.0,2116.0,3689.7,4227.34,365.3735831466667,4345,3994.9261545000013,9344.5343009
黑龙江,2017,2.46687829927814,256.7799043241757,4.237678740333222,0.27801255973774636,0.6190055898793763,0.36660847584817724,8.506738733512378,0.41963514602189006,12659.5,105.8,14403.87003839262,3399.0,2104.0,3519.5,4641.08,355.3259442333334,4947,4028.6375495000007,9600.3339751
黑龙江,2018,2.255091263412057,274.7347330579632,4.515550480926811,0.2677631628766366,0.6345055605650737,0.35414631560613974,8.368693183097793,0.36726137861168096,13205.7,104.3,15023.236450043501,3327.0,2111.0,3536.0,4676.75,338.7876926666666,4309,2973.6989505,8096.9552576999995
黑龙江,2019,2.1813123678052606,292.8691970942456,4.804666403838797,0.26270367054610566,0.6460829493087558,0.35892999104744855,8.329658067569396,0.3801051746677135,13962.5,104.1,15639.189144495283,3255.0,2103.0,3668.0,5011.56,341.1395670333334,4144,3387.6642900000006,8912.439282
黑龙江,2020,2.1328047789661233,306.0752890499785,4.981261758416978,0.2467625231248348,0.6559444970040996,0.38924079113720617,8.433594167539924,0.31004379788983605,14000.1,101.0,15795.581035940237,3171.0,2080.0,3454.7,5449.41,336.88890720000006,4598,2744.3525575,8851.4996145
黑龙江,2021,2.1371857454753904,341.1391015743418,5.36797025925393,0.2669426135174723,0.65696,0.3338047970286671,8.754318540250866,0.2876243801515649,15292.8,106.2,16774.90706016853,3125.0,2053.0,4082.3,5104.81,358.5109225066667,6337,2699.8647519999995,9386.772952199999
黑龙江,2022,2.0550041090598365,347.5939965068792,5.564570654357293,0.2781003961073891,0.6621490803484995,0.3332675191940926,9.050171619823361,0.26659026010360665,16359.2,102.8,17244.60445785325,3099.0,2052.0,4549.5,5451.99,354.37733019999996,8519,2418.35297,9071.4228234
上海,2011,0.8360390477030564,80.19,8.661332767402376,0.4003361739871901,0.8930390492359932,0.191848515884956,9.122710622015209,0.20730948322535772,20406.1,108.1,20406.1,2356.0,2104.0,8169.3,3914.88,170.60296411333337,9160,1796.2348165000003,8664.5086783
上海,2012,0.768218628524553,150.77,9.14404230929554,0.3753909317608806,0.8928720300125053,0.19214875843287454,9.339612707680322,0.1865295204284888,21774.9,107.5,21936.5575,2399.0,2142.0,8174.1,4184.02,168.52072117199998,11379,1634.3873330950003,8762.084035495
上海,2013,0.7680034272461994,222.14,9.668932002655229,0.34803480978101087,0.8958333333333334,0.19020260905356706,9.27284557732758,0.16024108654666128,23809.4,107.9,23669.5455425,2448.0,2193.0,8286.5,4528.61,181.78292098000003,10644,1546.5117190000003,9651.1559696
上海,2014,0.6169626299227715,239.53,10.28526664838265,0.33250399584047446,0.892987434130523,0.18962198386258158,9.36005264520451,0.1665626047862082,25964.5,107.2,25373.75282156,2467.0,2203.0,8633.3,4923.44,156.54657271800002,11614,1581.1639816326003,9492.910990807972
上海,2015,0.5953863145042368,278.11,11.045531130622132,0.3022363918681888,0.8852725793327909,0.22254507289300401,9.775767810933758,0.14947419933958386,27821.6,107.0,27149.9155190692,2458.0,2176.0,8408.7,6191.56,161.64688139999996,17601,1450.7867740000006,9705.9344048
上海,2016,0.5441489210014815,282.2235392773836,11.786607021047066,0.2767803797325272,0.8901499797324686,0.22345182615884948,9.907828118634548,0.13295491585718305,30963.9,107.1,29077.559520923114,2467.0,2196.0,8570.2,6918.94,158.2252263866667,20086,1311.9135170000004,9867.3562278
上海,2017,0.5023173060496948,336.6505858794587,12.640366507067956,0.2770904902220296,0.8909164639091647,0.21954605085184548,9.937019035744921,0.11279547348974517,34378.3,107.2,31171.14380642958,2466.0,2197.0,9525.9,7547.62,156.57804983333335,20681,1117.122176,9903.9628226
