province,year,carbon_intensity,digital_finance,gdp_per_capita,industrial_structure,urbanization,government_intervention,innovation,energy_structure,gdp,population,urban_population,secondary_industry,fiscal_expenditure,carbon_emissions_mt,raw_coal_emissions_mt
山东,2022,1.3464170647777653,390.3757911893213,8.80836367214405,0.4025630198593824,0.6453803010921972,0.13548605106826006,48696,0.5851416597543878,89519.4,10163.0,6559.0,36037.2,12128.63,1205.3044778866667,705.2738627
河南,2011,2.4954043214991493,28.4,2.7705527956875597,0.5163206445853458,0.4047140894197231,0.1620932237660326,2462,0.8793455243393624,26212.2,9461.0,3829.0,13533.9,4248.82,654.10037156,575.1802342
河南,2012,1.8902272789099157,83.68,3.0296370121695344,0.5030801461294735,0.41984892992026857,0.17336080475093926,3182,0.8378541566372287,28878.5,9532.0,4002.0,14528.2,5006.4,545.86928474,457.3588492
河南,2013,1.8797907921428736,142.08,3.303186044082315,0.48903906847894146,0.43601796719941505,0.176535827003232,3173,0.839606089292141,31621.4,9573.0,4174.0,15464.1,5582.31,594.4161655466667,499.07543216666664
河南,2014,1.6108269703833826,166.65,3.5885121824779675,0.47910214034763315,0.45049248315189216,0.17418321237056214,3493,0.8352744448370112,34611.2,9645.0,4345.0,16582.3,6028.69,557.5265443733333,465.6876748333333
河南,2015,1.4594900410164993,205.34,3.793237810534996,0.46581898027620916,0.47015771569941245,0.18477398351006302,5384,0.8320061922697061,36798.2,9701.0,4561.0,17141.3,6799.35,537.0660642733334,446.84229113333333
河南,2016,1.3364936881349527,223.1225848913924,4.107966864389446,0.45162157654035456,0.4878298220494989,0.18556551657177284,6811,0.840739675648118,40167.7,9778.0,4770.0,18140.6,7453.74,536.8387751689834,451.34165771090403
河南,2017,1.2506490559101682,266.9235218761297,4.536219350900397,0.44935798952597755,0.505646556109472,0.18426025814988842,7914,0.8488348934964361,44586.5,9829.0,4970.0,20035.3,8215.52,557.6206413133871,473.3278576806633
河南,2018,0.9908489283751215,295.756397412612,5.096664639091647,0.42660248441027576,0.522404703974047,0.18335166638487474,8339,0.8420365943028006,50273.5,9864.0,5153.0,21446.8,9217.73,498.1344360066667,419.447424
河南,2019,0.8634245026885973,322.1206620643292,5.427663872336128,0.4128356714732049,0.5401474598525402,0.18913402295898904,6991,0.8350838546548425,53739.3,9901.0,5348.0,22185.5,10163.93,463.99828377333336,387.4774753666667
河南,2020,0.8577521369039486,340.8131206635064,5.448204405995373,0.39542767251470623,0.5542701941454582,0.19151689604620334,9183,0.8229507709206366,54160.6,9941.0,5510.0,21416.6,10372.67,464.5637038599999,382.31305823333327
河南,2021,0.8212565408512363,374.3744438889366,5.849124759688354,0.390455118679604,0.5645047050490741,0.1692581681425574,13536,0.8211982018331235,57806.9,9883.0,5579.0,22571.0,9784.29,474.74294731333333,389.85805466666665
河南,2022,0.8287379956944193,382.3945349322519,5.9569894651539705,0.37618565010525884,0.5706037277147488,0.1810443923723885,14574,0.8739772461454078,58807.4,9872.0,5633.0,22122.5,10646.75,487.35926808,425.94091099999997
湖北,2011,1.591240512252636,39.82,3.511857638888889,0.48279390754536966,0.5178819444444445,0.15892289515184171,3160,0.7995418503243902,20228.3,5760.0,2983.0,9766.1,3214.74,321.88090453999996,257.35725399999995
湖北,2012,1.3585266742463245,101.42,3.964884967998616,0.4865669037127525,0.5322608545234389,0.16403254657301164,4050,0.7893533749733455,22921.0,5781.0,3077.0,11152.6,3759.79,311.387899004,245.79508900466666
湖北,2013,0.9783551437365176,164.76,4.45872714729217,0.45824065728752844,0.5450155225939979,0.16910493313785938,4052,0.7027957732273628,25851.7,5798.0,3160.0,11846.3,4371.65,252.9214366933333,177.75211666666667
湖北,2014,0.8742086868363077,190.14,4.952871389270977,0.45157068517213483,0.5572558459422283,0.17128956220774214,4855,0.6774174808154463,28805.9,5816.0,3241.0,13007.9,4934.15,251.82368012138,170.5897629975
湖北,2015,0.8247354141988676,226.75,5.241299145299145,0.4425568137344431,0.5717948717948718,0.20001695932371436,7766,0.6767052140746558,30661.6,5850.0,3345.0,13569.5,6132.84,252.87707375999997,171.1232343333333
湖北,2016,0.7521517928397339,239.8553930826098,5.737909940526762,0.4302052855399851,0.5857264231096007,0.19021132683400654,8517,0.6794117816275265,33767.6,5885.0,3447.0,14527.0,6422.98,253.98360879894997,172.5594561582833
湖北,2017,0.709475321444268,285.2769470562437,6.372662601626016,0.4176540630764242,0.5987466124661247,0.1807682289590211,10880,0.6724268148535296,37624.2,5904.0,3535.0,15713.9,6801.26,266.93441389083426,179.49385770740744
湖北,2018,0.6081618836784481,319.4768636953569,7.170103092783505,0.41422964962110054,0.6099374683116444,0.17108272147647052,11393,0.655091318956084,42425.5,5917.0,3609.0,17573.9,7258.27,258.01571996,169.0238583
湖北,2019,0.6198003150867167,344.4025142250852,7.68635059895394,0.40382597624953354,0.6183566728530454,0.17495028206422722,14178,0.6475446690809553,45557.0,5927.0,3665.0,18397.1,7970.21,282.36242954405554,182.842286
湖北,2020,0.5636040455772469,358.6358584525988,7.487832898172323,0.3803001562151306,0.6288946910356832,0.19626571449825186,17555,0.6506528655572643,43017.6,5745.0,3613.0,16359.6,8442.88,242.44893391023774,157.75009359999999
湖北,2021,0.5728325697330781,391.9015022504354,8.592332761578046,0.3841092521355151,0.6408233276157804,0.1583778669003639,22376,0.6375861507183429,50093.3,5830.0,3736.0,19241.3,7933.67,286.9507376541,182.9558162666667
湖北,2022,0.5507949228350595,398.8103179856837,9.145345653661876,0.37325008326254455,0.6466461327857632,0.16135850793520118,29212,0.6717121173540435,53445.4,5844.0,3779.0,19948.5,8623.87,294.3745496888889,197.73495206666666
湖南,2011,1.4056838965603555,32.68,2.913903662057438,0.46325691996412255,0.4496277161525604,0.18359858993345987,2606,0.7999720091848668,19176.4,6581.0,2959.0,8883.6,3520.76,269.55956674000004,215.64010820000001
湖南,2012,1.279655366859257,93.71,3.264597875569044,0.46141296011378796,0.4622154779969651,0.19145939564091718,3353,0.7709456135899374,21513.7,6590.0,3046.0,9926.7,4119.0,275.30121665999997,212.24226539999998
湖南,2013,1.1135811321427924,147.71,3.6236818181818182,0.4563331284521435,0.4763636363636364,0.196137780509527,3613,0.7513411105937939,23916.3,6600.0,3144.0,10913.8,4690.89,266.32740430666666,200.10272773333332
湖南,2014,0.9729299778910467,167.27,3.9795946150355466,0.449468054779525,0.48978974436545153,0.19070891820700825,4160,0.7456181189364974,26309.1,6611.0,3238.0,11825.1,5017.38,255.96912081333335,190.85521436666667
