model,var_names,coefficients,std_err,zt_stat,prob,aic,log_likelihood,n_obs
SEM,lambda,-0.03285281844427041,0.07318509668518691,-0.4489003900013978,0.65350351472149,1360.010263538382,-661.005131769191,360
SDM,CONSTANT,9.67638185626586,6.276809328188219,1.5416083794055468,0.12316878808654744,1266.7922700457257,-606.3961350228628,360
SDM,digital_finance,0.0304502655192384,0.011696722272037798,2.6033161095081185,0.00923267822314231,1266.7922700457257,-606.3961350228628,360
SDM,gdp_per_capita,-0.05141301689108618,0.10794146626548756,-0.4763045997970162,0.6338573888485789,1266.7922700457257,-606.3961350228628,360
SDM,industrial_structure,2.5122020859329064,1.5235244549724338,1.6489410968978253,0.09915970262958826,1266.7922700457257,-606.3961350228628,360
SDM,urbanization,5.972710666529141,1.779981356783222,3.3554905750940054,0.0007922435599085497,1266.7922700457257,-606.3961350228628,360
SDM,government_intervention,-3.7062074283402215,1.8755040430395595,-1.9761127373171157,0.04814201012567589,1266.7922700457257,-606.3961350228628,360
SDM,innovation,-1.4596398015938188,0.15316246855808727,-9.530009638361545,1.5726862755750864e-21,1266.7922700457257,-606.3961350228628,360
SDM,energy_structure,6.933719356821426,1.1940165202525352,5.807054792972998,6.358133387170253e-09,1266.7922700457257,-606.3961350228628,360
SDM,year_2012,0.42425977246456625,0.9156161994390303,0.4633598364953537,0.6431064622911168,1266.7922700457257,-606.3961350228628,360
SDM,year_2013,0.5809189817459308,1.653339990748379,0.35136087253474085,0.7253176325885702,1266.7922700457257,-606.3961350228628,360
SDM,year_2014,0.6125633826169639,1.9693746237796468,0.3110446205716437,0.7557667005661286,1266.7922700457257,-606.3961350228628,360
SDM,year_2015,1.8098907453635344,2.503517826073684,0.7229390286395609,0.46971734408051424,1266.7922700457257,-606.3961350228628,360
SDM,year_2016,2.1291933679029613,2.6140563263621512,0.8145170195571306,0.415348826195004,1266.7922700457257,-606.3961350228628,360
SDM,year_2017,2.1119290768551107,3.1703137695704515,0.6661577466325227,0.5053102772237379,1266.7922700457257,-606.3961350228628,360
SDM,year_2018,2.157221101111134,3.523098812297071,0.6123078619258536,0.540334089033419,1266.7922700457257,-606.3961350228628,360
SDM,year_2019,2.0281061413690087,3.845630111280623,0.5273794105730139,0.5979301386132121,1266.7922700457257,-606.3961350228628,360
SDM,year_2020,2.6068170138669373,4.081536154521628,0.6386852682853342,0.5230276981768063,1266.7922700457257,-606.3961350228628,360
SDM,year_2021,2.6636330885369057,4.429088878308992,0.6013952669998959,0.5475767503361336,1266.7922700457257,-606.3961350228628,360
SDM,year_2022,3.198116110286194,4.493027567780603,0.7117953455749552,0.4765915153341531,1266.7922700457257,-606.3961350228628,360
SDM,W_digital_finance,-0.027107202357800786,0.01949052567122057,-1.3907886742032254,0.1642895185324278,1266.7922700457257,-606.3961350228628,360
SDM,W_gdp_per_capita,0.6306980573463973,0.20443991773513728,3.085004456729923,0.002035491030595728,1266.7922700457257,-606.3961350228628,360
SDM,W_industrial_structure,11.573353781126661,2.6321239256996347,4.39696386181756,1.0977561340788963e-05,1266.7922700457257,-606.3961350228628,360
SDM,W_urbanization,-2.694760471032292,3.329703196040239,-0.809309512702803,0.4183371358561301,1266.7922700457257,-606.3961350228628,360
SDM,W_government_intervention,-4.231628702468866,3.431328343547439,-1.2332333949988725,0.21748869938253634,1266.7922700457257,-606.3961350228628,360
SDM,W_innovation,-1.187132333604195,0.3834014905725307,-3.0963164275429884,0.001959411437646561,1266.7922700457257,-606.3961350228628,360
SDM,W_energy_structure,2.020047591185627,2.308252862052972,0.8751413783102542,0.3814969851112119,1266.7922700457257,-606.3961350228628,360
SDM,W_carbon_intensity,0.08168142849921568,0.06914214377289286,1.1813551625982248,0.23746166206468466,1266.7922700457257,-606.3961350228628,360
